"11ae -- Vital statistics and population by area, 1990-2024"

"Year";"Live births";"Deaths"
"1990";65549;50058
"1991";65395;49294
"1992";66731;49844
"1993";64826;50988
"1994";65231;48000
"1995";63067;49280
"1996";60723;49167
"1997";59329;49108
"1998";57108;49262
"1999";57574;49345
"2000";56742;49339
"2001";56189;48550
"2002";55555;49418
"2003";56630;48996
"2004";57758;47600
"2005";57745;47928
"2006";58840;48065
"2007";58729;49077
"2008";59530;49094
"2009";60430;49883
"2010";60980;50887
"2011";59961;50585
"2012";59493;51707
"2013";58134;51472
"2014";57232;52186
"2015";55472;52492
"2016";52814;53923
"2017";50321;53722
"2018";47577;54527
"2019";45613;53949
"2020";46463;55488
"2021";49594;57659
"2022";44951;63219
"2023";43383;61339
"2024";43720;58267
