"11rc -- Population according to age (5-year) and sex, 1865-2025"

"Year";"Total 0 - 4 Population 31 Dec";"Total 5 - 9 Population 31 Dec";"Total 10 - 14 Population 31 Dec";"Total 15 - 19 Population 31 Dec";"Total 20 - 24 Population 31 Dec";"Total 25 - 29 Population 31 Dec";"Total 30 - 34 Population 31 Dec";"Total 35 - 39 Population 31 Dec";"Total 40 - 44 Population 31 Dec";"Total 45 - 49 Population 31 Dec";"Total 50 - 54 Population 31 Dec";"Total 55 - 59 Population 31 Dec";"Total 60 - 64 Population 31 Dec";"Total 65 - 69 Population 31 Dec";"Total 70 - 74 Population 31 Dec";"Total 75 - 79 Population 31 Dec";"Total 80 - 84 Population 31 Dec";"Total 85 - Population 31 Dec"
"1970";339444;381160;397946;421170;445099;331031;287969;274525;294269;278969;238497;247313;233456;177463;124708;73386;36149;15782
"1971";327712;377381;390916;421729;442138;349107;307110;272543;293090;281004;245325;240178;236036;182572;129587;75406;37491;16587
"1972";314863;373815;387100;415882;438754;392432;301316;274999;290604;283842;249662;234660;237316;189244;134349;78691;38276;17596
"1973";302499;367418;388333;408523;431100;423755;304540;284590;282789;285700;256655;231831;236530;195521;137329;83682;39492;18474
"1974";300963;356256;386406;401987;423889;448938;308712;293098;277097;288314;269687;221509;233781;201301;142136;87915;41276;19122
"1975";303395;344339;382810;395592;417130;453205;336666;289668;272812;289296;270631;227320;229056;206729;146285;91519;43936;20103
"1976";307599;330742;378715;388147;412670;442278;351868;307526;270335;287696;272526;233769;222691;209487;151465;95712;46126;21484
"1977";312572;316985;375674;384881;403364;431733;390943;300265;272488;285251;275440;238210;218000;211576;157916;100184;48725;22760
"1978";319534;302337;367915;385677;394116;419225;417783;301461;281075;277222;276817;244946;215630;211140;163582;102993;52598;24037
"1979";320963;298770;356276;383390;386877;409745;439882;304190;288906;271437;279478;257433;206367;209455;168901;107204;56105;25913
"1980";319531;300578;345100;380152;381371;403524;443722;331554;285468;267664;280688;258819;212225;205910;173942;111050;58743;27737
"1981";317950;306505;332337;377548;377248;402619;435921;347609;303812;265612;279769;260998;218653;200716;177266;115794;62101;29692
"1982";319796;314107;318137;374333;376229;397110;429239;388276;297042;267837;277378;263763;222943;196742;179800;121183;65611;32189
"1983";323426;322441;304473;367489;379836;391373;419156;416687;298954;276757;270091;265476;229757;195262;179773;126097;67842;34968
"1984";325311;324668;301526;356320;379548;386743;411379;439954;302189;284840;264891;268257;241852;187069;179077;131128;71141;37855
"1985";324742;323446;303344;345381;377268;382333;405916;444575;329792;281599;261536;269654;243344;192869;176323;135202;73642;39698
"1986";321566;321314;308733;332536;374244;377477;404391;436309;345642;299754;259572;269110;245621;199157;172367;138222;77189;42440
"1987";314880;322414;315649;318025;370748;375276;397877;428782;385651;292980;261688;267092;248274;203126;169502;140626;81139;44873
"1988";311064;325332;323585;304154;363775;377764;391222;417907;413394;294692;270273;260096;250160;209574;168554;140883;84877;47053
"1989";309419;327075;325775;301284;353391;377940;386877;410165;436378;297913;278177;255274;252983;220838;161743;140896;88552;49703
"1990";312485;326827;324891;303383;343608;376821;383326;405368;441173;325282;275265;252434;254650;222601;167296;139532;91593;51943
"1991";317756;324511;323331;309680;332830;376431;380129;405035;433899;341453;293585;251058;254554;225198;173336;136969;94277;54970
"1992";324759;318487;325034;317075;319454;374213;378982;399440;427055;381240;287170;253661;253161;228027;177469;135183;96524;58048
"1993";326440;315622;328667;325595;306405;368480;382300;393435;417037;409135;289144;262399;247125;230284;183669;134943;96931;60301
"1994";327702;313943;330599;327902;303187;357733;382020;388699;409270;431795;292435;270468;243283;233739;193957;130265;97798;63959
"1995";324870;316643;330257;327118;305051;347131;379987;384742;404232;436449;319111;267867;240951;235870;196407;135771;97351;67018
"1996";320172;320975;327420;325344;310629;334569;377527;380187;403081;428832;334890;285534;240005;236340;199273;141399;96276;69867
"1997";312733;327353;321264;326932;317870;320816;374399;378530;397190;421934;373934;279074;242832;235617;202451;145669;96037;72714
