"11ae -- Vital statistics and population by area, 1990-2024"

"Year";"Immigration to Finland";"Emigration from Finland"
"1990";13558;6477
"1991";19001;5984
"1992";14554;6055
"1993";14795;6405
"1994";11611;8672
"1995";12222;8957
"1996";13294;10587
"1997";13564;9854
"1998";14192;10817
"1999";14744;11966
"2000";16895;14311
"2001";18955;13153
"2002";18112;12891
"2003";17838;12083
"2004";20333;13656
"2005";21355;12369
"2006";22451;12107
"2007";26029;12443
"2008";29114;13657
"2009";26699;12151
"2010";25636;11905
"2011";29481;12660
"2012";31278;13845
"2013";31941;13893
"2014";31507;15486
"2015";28746;16305
"2016";34905;18082
"2017";31797;16973
"2018";31106;19141
"2019";32758;17263
"2020";32898;15084
"2021";36364;13459
"2022";49998;15635
"2023";73236;15322
"2024";63965;16914
